Benchmark,Strategy,Preprocessing,Sampling time,Coverage time, N combinations, Coverage, Approx Coverage time, Approx n combinations, Approx coverage
axtls.cnf,3,approx,2.8526904582977304,3.308680582046506,16092.4,0.9926227485812978,21.250759077072143,16092.4,0.9921331689272502
axtls.cnf,4,-,2.5028111934661856,3.143398094177246,15951.8,0.983950160375031,21.24425230026244,15951.8,0.9834648581997534
axtls.cnf,5,-,0.8538970470428466,3.1659482955932616,16169.6,0.9973846533432023,21.40255393981936,16169.6,0.9968927250308264
brutus.cnf,1,exact,808.7736398220062,13922.902739381781,2529701.4,0.9187852008000549,155.930373477936,2534683.8,0.919152301684924
brutus.cnf,1,approx,813.1600634098049,13925.90140800476,2527800.8,0.9180949046438996,156.47398562431343,2525867.4,0.9159552108475678
brutus.cnf,2,-,827.1642977237701,13931.491789960859,2520017.6,0.9152680536270694,157.1229370117188,2517252.8,0.9128312987374672
brutus.cnf,3,exact,807.4453644275665,13925.833371353157,2534737.4,0.9206142713264139,156.58765254020682,2526439.6,0.9161627077144449
brutus.cnf,3,approx,806.4876904964449,13925.91362175942,2530723.2,0.9191563176117772,156.2779541492462,2532799.4,0.9184689617759003
brutus.cnf,4,-,831.7142503738403,13925.097506666201,2519108.8,0.9149379783104774,156.6265107631684,2524050.2,0.9152962396722983
brutus.cnf,5,-,668.4724981784824,13926.675914573661,2693150.4,0.9781497259118204,156.2887731075288,2692706.4,0.976456031841812
buildroot.cnf,1,exact,22.16110291481016,558.914203071594,613804.0,0.9879826806380481,99.9504972934723,613664.8,0.9872850597199339
buildroot.cnf,1,approx,21.11539039611816,558.9227838993074,613804.0,0.9879826806380481,99.89318647384641,613830.8,0.9875521262355849
buildroot.cnf,2,-,21.287781763076758,558.5440542697904,613804.0,0.9879826806380481,99.93662695884706,613247.6,0.9866138539950576
buildroot.cnf,3,exact,21.94242672920226,558.9848009586332,613804.0,0.9879826806380481,99.94322543144229,613996.2,0.9878182274505768
buildroot.cnf,3,approx,21.32449960708616,559.899587535858,613804.0,0.9879826806380481,100.8467743873598,613909.6,0.9876789023887973
buildroot.cnf,4,-,21.193397235870357,558.594371175766,613804.0,0.9879826806380481,99.97230901718135,614089.6,0.9879684925864909
buildroot.cnf,5,-,12.862403631210341,558.9003024101258,613804.0,0.9879826806380481,99.99037141799914,613506.6,0.9870305421128499
busybox_1_28_0.cnf,1,exact,49.518075847625745,2296.063135337828,1953073.6,0.9939189515847907,112.5330874919894,1952429.8,0.9938335817370341
busybox_1_28_0.cnf,1,approx,48.0521194934845,2296.79787993431,1953378.6,0.9940741660530182,112.5063960552216,1954138.0,0.9947030964946574
busybox_1_28_0.cnf,2,-,48.276035404205295,2295.717720365524,1952824.2,0.9937920319507711,112.39261465072639,1954228.0,0.994748908652593
busybox_1_28_0.cnf,3,exact,39.62256236076354,2296.450214099884,1952480.8,0.9936172757265437,112.51025300025961,1951845.4,0.9935361081248371
busybox_1_28_0.cnf,3,approx,39.54461770057676,2296.548538637162,1952589.4,0.9936725422552304,112.4618016242982,1951148.6,0.9931814202176177
busybox_1_28_0.cnf,4,-,37.16914854049682,2296.72583489418,1952582.4,0.9936689799559593,112.4958527088168,1951193.8,0.9932044281013814
busybox_1_28_0.cnf,5,-,19.34783821105956,2296.0203087806685,1954574.0,0.9946825049884911,112.48416519165042,1953823.2,0.9945428557466769
calm16_ceb.cnf,1,exact,1680.7287548542022,11802.094400978081,2345567.0,0.9188144557056337,153.7778665065766,2340415.4,0.9182651322067095
calm16_ceb.cnf,1,approx,1709.85804104805,11801.80573544502,2346960.6,0.9193603620154818,153.7413236141206,2348955.8,0.9216159696414223
calm16_ceb.cnf,2,-,1709.628547954558,11801.762529087078,2341067.8,0.9170520119131045,153.8356934547424,2337589.4,0.9171563473031338
calm16_ceb.cnf,3,exact,1666.587043809894,11802.1355559349,2347487.8,0.9195668788112277,153.74093294143682,2347371.8,0.9209944851094815
calm16_ceb.cnf,3,approx,1674.8729808330518,11802.670281696319,2350119.2,0.9205976608604056,153.64466466903679,2353179.4,0.9232731047860587
calm16_ceb.cnf,4,-,1733.2371761322017,11799.208421373381,2341079.4,0.9170565559093694,153.3248431205748,2344576.8,0.9198978630976298
calm16_ceb.cnf,5,-,1456.5058804988862,11802.469525337241,2502454.6,0.9802710650461315,153.5964558124542,2503768.2,0.9823568231468458
calm32_ceb.cnf,1,exact,1676.4916677474957,11788.5305568695,2349358.0,0.9202994806917373,158.29330749511718,2348148.4,0.9198209674588851
calm32_ceb.cnf,1,approx,1706.8517993926998,11788.487798976901,2348423.0,0.919933218923864,158.1741306304932,2346191.8,0.9190545245437226
calm32_ceb.cnf,2,-,1693.673558425904,11788.03358426094,2343186.8,0.9178820746790117,158.27812347412117,2340757.2,0.9169256731347775
calm32_ceb.cnf,3,exact,1706.0340311050436,11788.37396502494,2359415.0,0.9242390471083141,158.1547808170318,2361191.6,0.9249302735158444
calm32_ceb.cnf,3,approx,1706.551781320574,11788.71869049074,2360830.4,0.9247934929973493,158.1143101215362,2359545.8,0.9242855777426795
calm32_ceb.cnf,4,-,1679.922705698014,11788.32631435394,2345330.0,0.9187216171612637,158.2108327388764,2339763.2,0.9165363016446051
calm32_ceb.cnf,5,-,1457.88284673691,11786.59055552484,2499609.2,0.9791564541003493,157.77479443550118,2494606.6,0.9771918402777775
ceb_v850.cnf,1,exact,765.1985288143158,12362.87287368776,2420070.0,0.9193680553154842,158.95410628318783,2422435.4,0.9190596621260683
ceb_v850.cnf,1,approx,768.3407184600833,12369.08239464762,2423735.8,0.9207606676850336,159.86756844520562,2427668.4,0.9210450356934732
ceb_v850.cnf,2,-,769.6508829593661,12364.04943003654,2415236.6,0.917531879684795,159.4386654376984,2417138.6,0.9170500831633644
ceb_v850.cnf,3,exact,775.0950041294097,12363.313946008679,2437046.2,0.9258171976876663,159.0226213932038,2441900.0,0.9264444323038072
ceb_v850.cnf,3,approx,771.0389797210694,12363.507847023002,2430923.8,0.9234913397654312,159.0770273685456,2424892.6,0.9199919113005048
ceb_v850.cnf,4,-,782.6437685489657,12362.74998493192,2416085.0,0.9178541810472058,158.96877779960639,2415766.8,0.9165296292249419
ceb_v850.cnf,5,-,637.6241711616518,12362.06227202416,2567627.4,0.9754241032336886,158.67340917587302,2565101.0,0.9731862646901709
cerf.cnf,1,exact,2518.4138432979557,15766.399587106698,2785893.2,0.9213408039982299,130.68468585014358,2780218.8,0.9184903321633966
cerf.cnf,1,approx,2532.6104242801657,15766.329202795041,2782970.6,0.9203742520019924,130.62863831520082,2788267.4,0.9211493175955681
cerf.cnf,2,-,2518.239831638336,15764.75149030686,2775457.2,0.9178894467708512,130.54468970298757,2776323.2,0.9172033575778078
cerf.cnf,3,exact,2586.531116771698,15764.839024209981,2781445.0,0.9198697109339499,130.54118118286118,2777315.4,0.9175311469257442
cerf.cnf,3,approx,2521.2798201561,15766.08506741524,2788287.0,0.9221324731177104,130.5938796997068,2793633.4,0.9229220626480039
cerf.cnf,4,-,2521.4189339637765,15765.244501543038,2772579.6,0.9169377770163949,130.700640821457,2771545.4,0.9156249339267593
cerf.cnf,5,-,2159.087370252608,15763.722678852082,2938963.4,0.971963642352611,130.213747406006,2944057.4,0.9726170685681664
cerfpda.cnf,1,exact,2320.5820029258725,16243.85317683222,2863337.0,0.9245622730641128,145.2750638484954,2859387.6,0.9237084694426067
cerfpda.cnf,1,approx,2348.191440439222,16244.776241731637,2861574.4,0.9239931352146378,145.14035472869898,2856979.8,0.9229306437107179
cerfpda.cnf,2,-,2341.59486193657,16246.84059119224,2851663.4,0.920792905312136,145.8594811439514,2849681.6,0.9205730028117763
cerfpda.cnf,3,exact,2311.224463033674,16241.253827285778,2862634.8,0.9243355349511535,144.7274480342866,2868266.2,0.9265766493342703
cerfpda.cnf,3,approx,2386.675686645506,16244.6347813606,2860550.8,0.9236626180793133,145.4523862838746,2859425.2,0.9237206159030762
cerfpda.cnf,4,-,2347.1401403903983,16240.929366588582,2840192.6,0.9170890210254236,144.82535037994398,2837153.6,0.9165259055573932
cerfpda.cnf,5,-,2011.727563333512,16244.3780825615,3010620.2,0.972119542842751,145.02978296279898,3011715.0,0.972916946638273
cma230.cnf,1,exact,840.6523796558379,13783.665155220024,2496770.8,0.9185943958022598,149.2503695011138,2498202.4,0.9178520621708053
cma230.cnf,1,approx,850.860498046875,13782.923399972922,2495192.0,0.9180135347828614,149.0528123378752,2491339.2,0.915330488148984
cma230.cnf,2,-,846.099844121933,13784.254911136619,2491045.2,0.9164878732201289,149.1356083393096,2494323.2,0.9164268246802107
cma230.cnf,3,exact,831.7257779598234,13780.931068372742,2498945.2,0.9193943857950264,148.7502789497376,2496279.6,0.917145615829571
cma230.cnf,3,approx,851.637642765045,13783.905493927003,2497923.8,0.9190185994730016,149.24645028114338,2501120.2,0.9189240764907826
cma230.cnf,4,-,840.1998812675478,13780.69686169624,2491691.4,0.9167256185904957,148.7441925048828,2498633.6,0.9180104872084272
cma230.cnf,5,-,691.9164029598238,13784.750609111801,2658339.2,0.9780375079929096,149.00037002563482,2658544.8,0.9767626622460496
cma28x.cnf,1,exact,722.7689082145693,12663.38622612952,2478858.0,0.9199927851213167,151.2050070762634,2469244.6,0.9151315672438333
cma28x.cnf,1,approx,742.0832892894744,12662.873377656939,2479423.2,0.9202025510385863,150.90372028350822,2479682.2,0.9189998665796963
cma28x.cnf,2,-,738.0993381023407,12663.305072355262,2467299.2,0.9157029013907199,151.16317157745397,2464729.6,0.9134582542694497
cma28x.cnf,3,exact,730.9599967479706,12664.1102563858,2484859.4,0.9222201191197257,151.0083559513092,2488091.0,0.922116268382353
cma28x.cnf,3,approx,727.8691080093383,12670.166093063359,2486764.6,0.9229272069215331,151.7977255821228,2490708.6,0.9230863822343455
cma28x.cnf,4,-,719.7174058437348,12663.685332965839,2474754.8,0.9184699409745726,151.2635687828064,2476933.8,0.9179812766840607
cma28x.cnf,5,-,595.7891266822816,12661.8961344242,2628445.4,0.9755100147266658,150.5020231246946,2631337.2,0.9752050225332068
cme555.cnf,1,exact,1326.774109888076,14389.86966543198,2760184.2,0.9240446484646483,150.38591732978801,2763277.2,0.9235157052104723
cme555.cnf,1,approx,1303.91538310051,14389.65980334282,2758604.0,0.9235156347294403,150.38211731910698,2761577.0,0.9229474808564341
cme555.cnf,2,-,1321.204750490188,14389.373972654339,2755915.2,0.922615487829537,150.3858098983764,2756873.8,0.9213756229680014
cme555.cnf,3,exact,1299.0452725887299,14388.62261929512,2769049.6,0.9270125755423043,150.2300958633424,2771996.4,0.9264297516683777
cme555.cnf,3,approx,1315.04738483429,14388.955027103459,2778415.4,0.9301480247520308,150.4846239089968,2772430.4,0.926574798939083
cme555.cnf,4,-,1302.1828073501579,14388.50935339928,2750401.6,0.9207696644334845,150.4744464397432,2749240.4,0.9188244620550995
cme555.cnf,5,-,1099.24302663803,14387.40763897896,2895406.4,0.9693138555935116,149.86884341239937,2897243.2,0.968288522416153
cq7708.cnf,1,exact,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
cq7708.cnf,1,approx,2044.3725530624401,-1.0,2600448.4,-1.0,164.2944121837618,2598278.2,0.9156914668666548
cq7708.cnf,2,-,2069.0929263114936,-1.0,2591112.2,-1.0,164.0637562274934,2594473.2,0.9143504995940095
cq7708.cnf,3,exact,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
cq7708.cnf,3,approx,2017.1181503772739,-1.0,2606240.0,-1.0,164.1027305603028,2614710.8,0.9214826833724288
cq7708.cnf,4,-,2021.4127151966081,-1.0,2589869.0,-1.0,164.2421665191652,2587104.4,0.9117535693341757
